Delegacia_Orgaos,Delegadotitular_Diretor,Telefones,TipoTabela
"DEAM  Cabo Frio   Av. Teixeira e Souza, s/nº São Cristóvão Claudia",Claudia Marcia Faissal G. R. Nogueira,telefone:(22)2648-9029 / 2648-9029 / 2648-9072,DPAM - Divisão de Polícia de Atendimento à Mulher
DEAM - Angra dos Reis  Rua Doutor Coutinho nº 6 Centro,Ana Carla Rodrigues Moura Duarte,(24)3377-8372 / 3377-1656 / 3377-5889,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Belford Roxo  Av. Retiro da Imprensa, 800",Tatiana Ribeiro Q. de Oliveira,Telefone:3771-1135 / 3771-1453 / 3771-1602 / 3771-1200,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Campo Grande  Av. Cesário de Melo, 4.138- Campo Grande",Daniele Marques Amorim,Plantão: 2332-7537 / 2332-7588,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM - Campos  Rua barão de Miracema, 231 - Centro",Ana Paula de Oliveira Carvalho,(22) 2738-1334/2738-1473/2738-1254,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Centro  Rua Visconde do Rio Branco, 12",Elisa Borboni de Andrade,Plantão: (21)2334-9859,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Duque Caxias  Rua Tem. José Dias, 344",Giselle do Espírito Santo,Plantão: 2771-3434,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Jacarepaguá  Rua Henriqueta, 197",Viviane da Costa Ferreira Pinto,Plantão: (21)2332-2578,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Niterói  Av. Amaral Peixoto, 577, 3º Andar",Alriam Miranda Fernandes,PLantão: (21)2717-0558,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM - Nova Friburgo  Av. Presidente Costa e Silva, .501 Centro - Nova Fribugo",Danielle Christine Bessa Netto,(22) 2533-1694,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Nova Iguaçu  Av. Governador Amaral Peixoto, 950 Nova Iguaçu - Centro",Cristiane Carvalho de Almeida,Plantão: 3779-9416,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  São Gonçalo  Av. 18 do Forte, 578",Débora Ferreira Rodrigues,Telefone:3119-0214 / 3119-0195 / 3119-0191 / 3119-0201,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  São João de Meriti  Avenida Doutor Arruda Negreiro, s/nº - 3º Andar.",Elisa Borboni de Andrade,2655-5238,DPAM - Divisão de Polícia de Atendimento à Mulher
"DEAM  Volta Redonda  Av. Lucas Evangelista, 667, 3º andar",Maria Madalena Carnevale Alves Tomelin,Plantão: (24)3339-2279,DPAM - Divisão de Polícia de Atendimento à Mulher
DPAM,Marcia Noeli Barreto,Plantão: 2334-9749 / 2332-9960 /2224-6409 / 2252-5145,DPAM - Divisão de Polícia de Atendimento à Mulher
CORE  Av. Dom Hélder Câmara nº 2066,Rodrigo Teixeira de Oliveira,"Telefones: 2582-7369/2334-8957
Anti-bomba: 2202-0563 / 0564 / 0562
Retrato Falado: 2206-0375",DGPE - Departamento Geral de Polícia Especializada
DAIRJ  Aeroporto Internacional 1ºandar,Patricia de Paiva Aguiar,"2202-0328
2202-0368",DGPE - Departamento Geral de Polícia Especializada
"DAS  Av. Afrânio de Mello, 159 - Leblon",Claudio Luiz Gois da Silva,"Plantão:2332-2848 
2259-9477
2334-6792/6794/",DGPE - Departamento Geral de Polícia Especializada
DC  Polinter Sede  Av. Dom Hélder Câmara nº 2066,Márcio Mendonça Dubugras,"Arquivo: (21)2334-8831 
Plantão: 
2582-7348/
2334-8832
Expediente: (21) 2202-0330/ 2202-0331/ 
Transporte de presos (capital) : 2202-0325",DGPE - Departamento Geral de Polícia Especializada
"DCAV  Rua do Lavradio, nº 155",Juliana Emerique de Amorim,2334-8481 / 2332-4330 / 2334-8477,DGPE - Departamento Geral de Polícia Especializada
DCOD   Av. Dom Hélder Câmara nº 2066,Felipe Lobato Curi,2202-0258 / 2202-0260,DGPE - Departamento Geral de Polícia Especializada
DDEF  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte,2582-7212 / 2582-7221 / 2582-7225,DGPE - Departamento Geral de Polícia Especializada
DDPA - Del. de Descoberta de Paradeiros   Av. Dom Hélder Câmara nº 2066,Elen Gomes Pereira Souto,2202-0338/ 2202-0337/ 2202-0343/ 2202-0321/  2334-8931,DGPE - Departamento Geral de Polícia Especializada
DDSD (Del.Defesa Serviços Delegados)  Av. Dom Hélder Câmara nº 2066,Roberto Gomes Nunes,"2582-7716
2582-7304",DGPE - Departamento Geral de Polícia Especializada
"DEAPTI  Rua Figueiredo de Magalhães, 526 Copacabana",Marcos Cipriano de Oliveira Mello,Telefone:2333-9260 / 2333-9265 / 2333-9274 / 2332-7921,DGPE - Departamento Geral de Polícia Especializada
"DEAT  Av. Afranio de Melo Franco, 159",Valeria de Aragão Sádio,Plantão:(21)2332-2924/ 2334-6802,DGPE - Departamento Geral de Polícia Especializada
DECON  Av. Dom Hélder Câmara nº 2066,Ricardo Barboza de Souza,"2582-7362/
2582-7361",DGPE - Departamento Geral de Polícia Especializada
"Del. de Homicídios da Baixada Fluminense  Avenida Florípedes da Rocha, 38 -  B. Roxo",Giniton Lages,Plantão: 2779-6692,DGPE - Departamento Geral de Polícia Especializada
"Del. de Homicídios de Niterói, São Gonçalo e Itaboraí   Rua Desiderio de Oliveira, nº.33, - Niterói",Fabio Oliveira Barucke,2718-5361 / 2718-5091 / 2718-5676,DGPE - Departamento Geral de Polícia Especializada
"Delegacia de Homicídios da Capital   Av. Ministro Ivan Raposo , s/n - Barra da Tijuca",Fábio Cardoso Júnior,Plantão: (21)2333-6393 / 6381 / 6388,DGPE - Departamento Geral de Polícia Especializada
DELFAZ  Av. Dom Hélder Câmara nº 2066,Gilberto da Cruz Ribeiro,"Tel/fax: (21) 2233-7017/
2332-1679/1681/1682/1683",DGPE - Departamento Geral de Polícia Especializada
DFAE  Av. Dom Hélder Câmara nº 2066,Rafael Willis Fernandez,2582-7519,DGPE - Departamento Geral de Polícia Especializada
"DPCA  Centro  Rua do Lavradio, nº 155",Deoclécio Francisco de Assis Filho,2334-5104 / 2334-5629 / 2334-5641,DGPE - Departamento Geral de Polícia Especializada
"DPCA  Niteroi  Av. Ernane do Amaral Peixoto, 577",Pedro Henrique Brandão Medina,Telefone:2717-0139 / 2717-0267  / 2717-0299  / 2717-0343,DGPE - Departamento Geral de Polícia Especializada
DPMA  Av. Dom Hélder Câmara nº 2066,José Luiz Silva Duarte,"2582-7240
2202-0006",DGPE - Departamento Geral de Polícia Especializada
"DRACO-IE   Praça Cristiano Otoni, nº324, 3ª andar",Alexandre Herdy Barros Silva,Plantão: (21)2334-5785,DGPE - Departamento Geral de Polícia Especializada
DRCI  Av. Dom Hélder Câmara nº 2066,Daniela Campos Rodriguez Terra,2202-0636/202-0273/2202-0279/2202-0277/2202-0285,DGPE - Departamento Geral de Polícia Especializada
"DRCPIM  Av Dom Hélder Câmara, 2066",Celso Gustavo Castello Ribeiro,"Plantão:
2202-0027
2202-0023
2202-0643",DGPE - Departamento Geral de Polícia Especializada
"DRF  Av. D. Helder Câmara, 2.066",Hilton Pinho Alonso,"Plantão:
2582-7253
2202-0239
2582-7257",DGPE - Departamento Geral de Polícia Especializada
DRFA    Av. Dom Hélder Câmara nº 2066,Alesandro Petralanda Santos,"2582-7435/
2202-0133",DGPE - Departamento Geral de Polícia Especializada
DRFC  Av. Dom Hélder Câmara nº 2066,Mauricio Mendonça de Carvalho,2202-0253 / 2202-0057 / 2202-0055,DGPE - Departamento Geral de Polícia Especializada
"DS - Delegacia Supervisora  Rua da Relação, 42, Térreo Centro - Rio",Luiz Carlos Tucher,Plantão: 2332-9786 / 29788,DGPE - Departamento Geral de Polícia Especializada
"1ª CRP - Grande Niterói  Rua São João, 370 - Centro",Armando Marcio Zuccarelli,,CRPI - Coordenadoria Regional de Polícia do Interior
"2ª CRP - Serrana  Praça Prefeito Feliciano Costa, 1 - Nova Friburgo",Henrique Oliveira Vianna,(22) 2533-0647,CRPI - Coordenadoria Regional de Polícia do Interior
"3ª CRP - Região dos Lagos  Av. Bernardos Vasconcelos, 555 - Araruama",Tércia Amoêdo Silveira,(22) 26656481/2665-7247/2665-7047,CRPI - Coordenadoria Regional de Polícia do Interior
"4ª CRP - Macaé  Rua Barão de Miracema, 231",Jose Geraldo de Souza Araujo,(22) 2791-5616/2791-4107,CRPI - Coordenadoria Regional de Polícia do Interior
"5ª CRP - Norte  Rua Cel. Luiz Ferraz, 307",Antônio das Graças Francisco Ragozo,(22) 3822-7914/3822-7927,CRPI - Coordenadoria Regional de Polícia do Interior
"6ª CRP - Sul Fluminense e Costa Verde  Rua Pinto Ribeiro, 330- Barra Mansa",Wilson Raimundo de Melo,telefone:(24)3324-1830 / 3324-4850 / 3328-4501,CRPI - Coordenadoria Regional de Polícia do Interior
"ACADEPOL  Rua Frei Caneca, 163 - Centro",Carolina Salomão Albuquerque,Telefone: 2332-8094 / 2332-8069 / 2332-8092 / 2332-8080,Orgãos
"ANL - Assist. de Normas e Legislação  Rua da Relação, 42 - 11º Andar - Centro",Fernando Vila Pouca de Souza,2332-9737,Orgãos
"ASPLAN - Assessoria Geral de Planejamento e Controle  Rua da Relação, 42 - 10º",Fabíola Martire Machado Willis Fernandez,2332-9879,Orgãos
"ASSEJUR - Assessoria Jurídica   Rua da Relação, 42 - 10º",João Batista Byron,2332-9680,Orgãos
"Assinpol (Assessoria de Inteligência Policial)  Av. Dom Helder Câmara, 2066 Bl. 8A 2ªandar - Benfica",Luiz Lima Ramos Filho,2202-0634,Orgãos
"ATA  Asses. Téc. Adiministrativa  Rua da Relação, 42 - 11º Andar - Centro",Gisele de Lima Pereira,2332-9906/9910/9923,Orgãos
"CCC-LD  Coordenadoria de Combate  a Corrupção e a Lavagem de Dinheiro  Rua da Relação, 42  8º andar Centro",Patricia da Costa de Araujo Alemany,2334-9714 / 2334-9715 / 2334-9716,Orgãos
"CCFC - Comissão Controle e Fiscalização de Contratos  Rua da Relação, 42 - 6º andar",Marta Ferreira Dominguez,Telefone: 2232-9849 / 2334-9806,Orgãos
"Chefia de Gabinete  Rua da Relação, 42 - 12º andar",Antonio Carlos de Carvalho,2332-9919,Orgãos
"Chefia de Polícia  Rua da Relação, 42 - 12º andar",Carlos Augusto Neto Leba,e-mail: gabinete@pcivil.rj.gov.br,Orgãos
"CIDPOL - Cidade da Polícia  Av. Dom Hélder Câmara, 2066 - Jacarezinho",Rudolph Bruno Anastácio,Portaria:2202-0614,Orgãos
CINPOL - Coordenadoria de Informação e Inteligência Policiais  Av. Dom Hélder Câmara nº 2066,Luiz Lima Ramos Filho,2334-8922/2202-0634,Orgãos
"COINPOL  Corregedoria Interna  Rua da Relação 42, 4º, 5º e 6º andar",Paulo Passos Silva Filho,2332-9733,Orgãos
Coordenadoria de Fiscalização de Armas e Explosivos,Rafael Willis Fernandez,,Orgãos
"DGAF - Departamento Geral de Administração e Finaças  Rua da Relação, 42  3º andar, Centro/RJ",Jessica Oliveira de Almeida,2332-9842/9829,Orgãos
"DGPB - Depart. Geral de Polícia da Baixada  Rua Ailton Costa, s/nº",Sergio Simoes Caldas,Telefone:3657-2128 / 3657-2587(fax) / 2334-9799 / 2332-9698,Orgãos
"DGPC - Depart. Geral de Polícia da Capital  Rua da Relação, 42 - 11º Andar - Centro",Jose Pedro Costa da Silva,"2332-9901/ 9902/9685/
Fax:2332-9685",Orgãos
DGPE - Depart. Geral de Polícia Especializada   Av. Dom Hélder Câmara nº 2066,Marcelo Luiz Santos Martins,"2582-7004 
2202-0004",Orgãos
"DGPI - Depart. Geral de Polícia do Interior  R. Ernani do Amaral Peixoto,577 - 2º Andar - Niterói",Celso Pereira Couto,"2332-9704
2334-9721/2719-2851/
Fax:",Orgãos
"DGPTC - Depart. Geral de Pol. Téc. Científica  Rua da Relação, 42 - 11º Andar - Centro",Sandra Maria Pinheiro Ornellas,2334-9955 / 9904,Orgãos
"DGRH  Departamento Geral de Recursos Humanos  Rua da Relação, 42  Sala 209, Centro/RJ",Sania Burlandi Cardoso,2332-9832/9789,Orgãos
"DGTIT  Av. Dom Helder Câmara, 2066",André Luis Drumond Flores,2582-7013 / Protocolo: 2582-7018,Orgãos
Museu,Cyro Advincula da Silva,2332-0497,Orgãos
"Policlínica da Polícia Civil  Rua Haddock Lobo, 60-62 - Estácio",Adriane Ribeiro do Rego Ramos,"Plantão: 2334-5627 
Fax: 2263-1866",Orgãos
"SECOP  Rua da Relação, 42  2º andar",Maria Thereza Bhering de Araujo,Telefone:2332-9739 / 2332-9740 / 2332-9741 / 2332-9742,Orgãos
"Subchefia Administrativa  Rua da Relação, 42 - 12º andar",Elizabeth Cayres Loureiro Botelho,2332-9912 / 2332-9920,Orgãos
"Subchefia Operacional  Rua da Relação, 42 - 12º andar",Fernando A Paes de A Albuquerque,2332-9912 / 2332-9920,Orgãos
"ICCE  Rua PedroI, 28, Centro - Rio",Sérgio William Silva Miana,"Plantão: 2332-8144 / 8158/ 8153
Fax: 2504-1866
tel: 2332-8157 / 8154", Departamento de Polícia Técinca e Científica
"ICCE - Posto Angra dos Reis  Rua Dr. Coutinho, 6",Fábio de Souza Baptista,(24) 3377-8521/3377-4636, Departamento de Polícia Técinca e Científica
"ICCE - Posto Barra da Tijuca  Praça Desembargador Araújo Jorge, s/nº. Barra da Tijuca",Maria das Graças Freitas,2495-3424/24954693, Departamento de Polícia Técinca e Científica
"ICCE - Posto Brás de Pina  Av. Brás de Pina, 115",Jorge Airton Pereira de Resende,tel: (21)2333-5244 / 5242 / 5290, Departamento de Polícia Técinca e Científica
"ICCE - Posto Cabo Frio  Rua Teixeira e Souza, s/nº.",Alberto Rodrigues Ferreira,(22) 2647-3105, Departamento de Polícia Técinca e Científica
"ICCE - Posto Nova Iguaçu  Rua Capitão Gaspar Soares, 301",Angelo Silvares Gonçalves,2767-5551/2797-4285/2767-5812, Departamento de Polícia Técinca e Científica
"ICCE - Posto Resende  Rua Rita Ferreira da Rocha, s/nº.",Flávia Gonçalves Medeiros,(24) 3381-4987, Departamento de Polícia Técinca e Científica
"ICCE - Posto São Cristóvão  Av Francisco Bicalho, 250",Sérgio William Silva Miana,2334-8476, Departamento de Polícia Técinca e Científica
"ICCE - Posto Teresópolis  Av. Alberto Torres, 531",Marcos Teixeira Correa,(21) 2641-4010, Departamento de Polícia Técinca e Científica
"ICCE - Posto Três Rios  Av.Castro  Alves, 120",Yuri Rodrigues de Santa Rosa,tel: (24)2255-1799 / 2252-4569, Departamento de Polícia Técinca e Científica
"IIFP  Rua Frei Caneca, 505",Márcio Pereira de Carvalho,"Plantão: 2333-7537/ 7538
Fax:3972-1024", Departamento de Polícia Técinca e Científica
"IMLAP  Av. Francisco Bicalho, 300, Leopoldina - Rio",Reginaldo Franklin Pereira,Plantão: 2332-4700 / 4696, Departamento de Polícia Técinca e Científica
"IMLAP - Angra dos Reis  Rua Dr. Coutinho, 6 - Bracuí",Ari Pereira Molinari,Plantão: (24)3377-8325, Departamento de Polícia Técinca e Científica
IMLAP - Campo Grande,Rudolph Bruno Anastácio,"Plantão: 2332-7592/ 7599/ 7690
3406-3876", Departamento de Polícia Técinca e Científica
"IMLAP - Duque de Caxias   Rua Hilton Costa, s/nº.",Carlos Alberto Simões,Plantão: 3777-7106, Departamento de Polícia Técinca e Científica
"IMLAP - Petrópolis  Rua Vigário Corrêa, 1345",Mary Laura Garnica Perez,Plantão: (24) 2221-6892, Departamento de Polícia Técinca e Científica
"IMLAP - Três Rios  Rua Fortaleza, 117",Sonia Ladernayder,Plantão: (24) 2251-5362, Departamento de Polícia Técinca e Científica
"IPPGF  Rua Marques de Pombal, 150",Rodrigo Grazinoli Garrido,Plantão: 2332-8070/2334-9718, Departamento de Polícia Técinca e Científica
"PRPTC - Angra dos Reis  Rua Dr. Coutinho, 6",Regina Célia Barreira,Telefone:(24) 3363-1128 / 3363-1148 / 3363-1168 / 3363-1260, Departamento de Polícia Técinca e Científica
"PRPTC  Araruama  Av. Bernardo de Vasconcelos, 755 - Centro - Araruama",Kesley Couto de Castro,telefone:(22)2665-8804 /  2665-1588 /, Departamento de Polícia Técinca e Científica
"PRPTC  Barra do Piraí   Rodovia Lúcio Meira BR 393, Km 247, nº 47.100 -  Coimbra",Rogério Arving Serra,"telefone:(24)2443-1184 
2443-1013 / 2443-1100", Departamento de Polícia Técinca e Científica
"PRPTC - Cabo Frio  Rua Teixeira e Souza, s/n",Antonio Feliciano Neto,tel: (22)2648-2717, Departamento de Polícia Técinca e Científica
"PRPTC  Campo Grande  Estrada do Mendanha, 1672",Luiz Carlos Leal Prestes Junior,"telefone:2332-7599 
 2333-6955 / 2333-6952 / 2332-7690", Departamento de Polícia Técinca e Científica
"PRPTC - Campos dos Goytacazes  Rua Quinze de Novembro, 799 - Caju",Carlos Frederico Ozório Nunes,(22) 2732-2220/2732-3406, Departamento de Polícia Técinca e Científica
"PRPTC  Duque de Caxias  Rua Ailton da Costa, s/n - 25 de Agosto",Tomilis Ribeiro da Silva,"telefone:3777-6398 / 7479 / 
6332 / 6279", Departamento de Polícia Técinca e Científica
"PRPTC - Itaboraí  Rua Salvador de Mendonça, 284 - Centro",Enilson Max Marins,2645-7897/2645-7894, Departamento de Polícia Técinca e Científica
"PRPTC - Itaperuna  Rodovia BR 356, KM 3 - Cidade Nova",Frederico Weller dos Santos,(22) 3822-4500/3822-7322, Departamento de Polícia Técinca e Científica
"PRPTC - Macaé  Rua Aloisio de Silva Gomes, 100 - Granja dos Cavaleiros",Alexandre Coe Guimarães Rosa,Telefone:(22)2765-4727 / 2765-4655 / 2765-4655 / 2765-4652, Departamento de Polícia Técinca e Científica
"PRPTC - Niterói  Tv. Cte Garcia D Avila, 51 - Barreto",José Carlos Brasil Junior,Telefone:3601-6929 / 3601-6006 / 3601-6926 / 3601-6022, Departamento de Polícia Técinca e Científica
"PRPTC - Nova Friburgo  Av. Presidente Costa e Silva, s/nº.",Clauber Leonel DAvila Canastra,(22) 2533-2479/2533-1612, Departamento de Polícia Técinca e Científica
"PRPTC - Nova Iguaçu  SPC: Rua Capitão Gaspar Soares, 301 / SML: Rua Edna s/nº, Posse  Nova Iguaçu",Angelo Silvares Gonçalves,tel: 2767-5551 / 2797-4285, Departamento de Polícia Técinca e Científica
"PRPTC - Petrópolis  Rua Vigário Correas, 1345",Mary Laura Garnica Perez,(24) 2221-6728/2221-6892, Departamento de Polícia Técinca e Científica
"PRPTC-  Posto Resende  Rua Rita Ferreira da Rocha, s/n",Claudio Godinho Novaes,tel: (24)3381-4987, Departamento de Polícia Técinca e Científica
"PRPTC - Santo Antônio de Pádua  Est, Pádua Monte Alegre, KM2 - Divinéia",Enderson de Souza Ferraz,(22) 3851-2442/3851-2212, Departamento de Polícia Técinca e Científica
"PRPTC - São Gonçalo  Rua Cap. Juvenal Figueiredo, 3381 - Tribobó",Alexandre José de Oliveira Pinheiro,Telefone:3715-2155 / 3715-2175 / 2701-7413 / 2701-2101, Departamento de Polícia Técinca e Científica
"PRPTC - Teresópolis  Av. Alberto Torres, 531",Robson Correa Santos,2641-4917, Departamento de Polícia Técinca e Científica
"PRPTC - Três Rios  Rua Fortaleza, 117 - Vila Isabel",Yuri Rodrigues de Santa Rosa,(24) 2251-5362/2255-1402, Departamento de Polícia Técinca e Científica
"PRPTC - Volta Redonda  Av. Professor Paulo Erlei Abrantes, 1325 A, KM 3 - Três Poços",Ivan Raphael Ferreira Jordão,(24) 33338-3918/3339-9043, Departamento de Polícia Técinca e Científica
